STORE,STORE_TYPE,Open Date,Sales,Location
432,S,19980629,74746.64529,"33.065005,-117.301093"
433,S,29-Jun-98,133421.5067,"32.666166,-117.094388"
434,S,29-Jun-98,120885.9479,"32.679704,-117.07972"
435,S,29-Jun-98,156036.9864,"33.228901,-117.322163"
436,S,6/29/1998,134376.0071,"33.199607,-117.37537"
437,S,6/29/1998,119236.3701,"32.9559,-117.04116"
438,S,19980629,72301.51956,"32.747042,-117.248685"
439,S,6/29/1998,90204.79152,"32.750605,-117.129678"
440,S,29-Jun-98,66720.66145,"32.757204,-117.086662"
441,S,19980629,144983.8968,"32.721633,-117.085545"
442,S,29-Jun-98,155987.748,"32.705932,-117.143619"
443,S,6/29/1998,108312.5691,"32.75004,-117.11091"
444,S,6/29/1998,139104.7687,"32.695576,-117.132357"
445,S,6/29/1998,191914.6391,"32.548317,-117.035284"
446,S,29-Jun-98,191157.7569,"32.708806,-117.011067"
447,S,19980629,73331.53904,"33.196279,-117.254472"
448,S,29-Jun-98,121953.2436,"34.284567,-118.440762"
449,S,6/29/1998,128342.8805,"38.115085,-121.288502"
450,S,6/29/1998,136293.7078,"38.024695,-121.294215"
451,S,29-Jun-98,128628.3425,"37.967232,-121.293249"
452,S,19980629,124657.0674,"34.646789,-120.457479"
453,S,19980629,146182.1727,"34.424441,-119.683151"
454,S,19980629,182020.3138,"34.972079,-120.436089"
455,S,29-Jun-98,183611.2889,"37.000367,-121.559693"
456,S,29-Jun-98,80646.73754,"38.244191,-122.02127"
457,S,29-Jun-98,106097.6859,"38.336043,-121.952767"
458,S,29-Jun-98,96587.60157,"38.124406,-122.227532"
459,S,3/2/1999,119437.3716,"37.628034,-121.013816"
460,S,6/29/1998,133676.5799,"37.657198,-120.956846"
461,S,29-Jun-98,80896.13166,"37.772598,-120.83207"
462,S,19980629,149383.6973,"37.505519,-120.848499"
463,S,29-Jun-98,77735.38737,"36.298353,-119.15565"
464,S,6/29/1998,109765.012,"36.079857,-119.044197"
465,S,6/29/1998,147190.2011,"37.973832,-120.363706"
466,S,19980629,63857.58307,"34.395004,-118.917215"
467,S,19980629,105248.6704,"34.279325,-118.887415"
468,S,29-Jun-98,229061.0119,"34.177015,-119.177855"
469,S,6/29/1998,101986.0056,"34.208573,-119.194251"
470,S,6/29/1998,67333.93659,"34.347253,-119.070239"
471,S,19980629,90186.42529,"34.278193,-118.744064"
472,S,29-Jun-98,123326.3612,"34.277118,-118.707838"
473,S,6/29/1998,37863.50172,"34.274472,-119.2614"
474,S,6/29/1998,75278.48067,"38.58114,-121.527032"
475,S,6/29/1998,132707.3985,"38.678056,-121.787497"
476,S,6/29/1998,84772.67575,"39.144233,-121.590536"
477,S,6/29/1998,139137.2721,"33.146235,-117.199639"
478,S,6/29/1998,95361.23254,"32.583518,-117.061007"
479,S,6/29/1998,142856.0115,"33.937019,-118.042923"
480,S,3/15/1999,139731.0331,"38.670419,-121.151755"
481,S,26-Mar-99,120370.8475,"36.135973,-120.363417"
482,S,8/28/1999,87170.67759,"34.086498,-118.176537"
483,S,20001102,170378.236,"37.350262,-121.827185"
484,S,6/23/1999,159506.2109,"33.532407,-117.150332"
485,S,19990307,54230.71612,"36.518166,-119.557213"
486,S,29-Mar-99,114959.2729,"35.145453,-119.465525"
